u,v,y
1,1,0
1,2,2
1,3,1
1,4,1
1,5,2
1,6,2
1,7,0
1,8,1
1,9,0
1,10,0
1,11,1
1,12,0
1,13,1
1,14,1
1,15,0
1,16,2
1,17,0
1,18,1
1,19,2
1,20,0
1,21,0
1,22,1
1,23,2
1,24,1
1,25,1
1,26,2
1,27,1
1,28,0
1,29,0
1,30,0
1,31,1
1,32,0
1,33,0
1,34,1
1,35,1
1,36,1
1,37,0
1,38,0
1,39,0
1,40,2
1,41,1
1,42,2
1,43,2
1,44,0
1,45,0
1,46,2
1,47,0
1,48,1
1,49,2
1,50,0
2,1,2
2,2,0
2,3,0
2,4,1
2,5,1
2,6,2
2,7,0
2,8,0
2,9,0
2,10,2
2,11,1
2,12,2
2,13,0
2,14,0
2,15,2
2,16,2
2,17,0
2,18,2
2,19,2
2,20,0
2,21,0
2,22,1
2,23,1
2,24,0
2,25,0
2,26,0
2,27,2
2,28,0
2,29,0
2,30,0
2,31,2
2,32,0
2,33,0
2,34,1
2,35,0
2,36,0
2,37,0
2,38,1
2,39,0
2,40,0
2,41,1
2,42,1
2,43,2
2,44,0
2,45,1
2,46,1
2,47,2
2,48,0
2,49,1
2,50,0
3,1,0
3,2,1
3,3,2
3,4,1
3,5,2
3,6,0
3,7,2
3,8,1
3,9,0
3,10,0
3,11,2
3,12,2
3,13,2
3,14,0
3,15,0
3,16,0
3,17,0
3,18,1
3,19,0
3,20,0
3,21,1
3,22,1
3,23,0
3,24,0
3,25,0
3,26,1
3,27,1
3,28,0
3,29,0
3,30,0
3,31,0
3,32,1
3,33,1
3,34,2
3,35,0
3,36,0
3,37,1
3,38,2
3,39,0
3,40,0
3,41,2
3,42,0
3,43,0
3,44,2
3,45,0
3,46,0
3,47,0
3,48,1
3,49,2
3,50,2
4,1,2
4,2,1
4,3,1
4,4,1
4,5,0
4,6,1
4,7,0
4,8,1
4,9,0
4,10,0
4,11,2
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,2
4,20,2
4,21,1
4,22,0
4,23,1
4,24,0
4,25,0
4,26,0
4,27,1
4,28,2
4,29,0
4,30,1
4,31,0
4,32,2
4,33,0
4,34,0
4,35,1
4,36,0
4,37,0
4,38,0
4,39,2
4,40,1
4,41,0
4,42,1
4,43,0
4,44,0
4,45,0
4,46,2
4,47,0
4,48,2
4,49,0
4,50,0
5,1,1
5,2,0
5,3,0
5,4,1
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,1
5,11,1
5,12,1
5,13,1
5,14,0
5,15,0
5,16,1
5,17,2
5,18,0
5,19,0
5,20,0
5,21,1
5,22,0
