u,v,y
1,1,1
1,2,1
1,3,1
1,4,1
1,5,0
1,6,1
1,7,2
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,0
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,0
1,26,1
1,27,1
1,28,0
1,29,1
1,30,0
1,31,2
1,32,1
1,33,1
1,34,1
1,35,0
1,36,0
1,37,1
1,38,1
1,39,1
1,40,1
1,41,1
1,42,1
1,43,0
1,44,0
1,45,1
1,46,1
1,47,1
1,48,1
1,49,0
1,50,1
1,51,1
1,52,1
1,53,0
1,54,1
1,55,0
1,56,1
1,57,1
1,58,1
1,59,1
1,60,1
1,61,0
1,62,1
1,63,0
1,64,1
1,65,1
1,66,1
1,67,1
1,68,1
1,69,1
1,70,0
1,71,1
1,72,1
1,73,0
1,74,1
1,75,1
1,76,1
1,77,1
1,78,1
1,79,1
1,80,0
1,81,0
1,82,1
1,83,1
1,84,0
1,85,1
1,86,0
1,87,0
1,88,1
1,89,1
1,90,1
1,91,0
1,92,1
1,93,0
1,94,1
1,95,1
1,96,1
1,97,1
1,98,1
1,99,1
1,100,0
1,101,2
1,102,1
1,103,0
1,104,0
1,105,0
1,106,1
1,107,1
1,108,1
1,109,1
1,110,1
1,111,1
1,112,1
1,113,0
1,114,1
1,115,2
1,116,1
1,117,1
1,118,1
1,119,1
1,120,1
1,121,1
1,122,2
1,123,1
1,124,1
1,125,1
1,126,1
1,127,0
1,128,1
1,129,1
1,130,1
1,131,1
1,132,1
1,133,1
1,134,1
1,135,1
1,136,1
1,137,1
1,138,0
1,139,0
1,140,1
1,141,1
1,142,1
1,143,1
1,144,1
1,145,1
1,146,1
1,147,1
1,148,1
1,149,1
1,150,1
1,151,1
1,152,1
1,153,1
1,154,0
1,155,1
1,156,1
1,157,1
1,158,1
1,159,1
1,160,1
1,161,1
1,162,1
1,163,1
1,164,1
1,165,1
1,166,1
1,167,0
1,168,1
1,169,1
1,170,0
1,171,1
1,172,0
1,173,1
1,174,1
1,175,1
1,176,1
1,177,1
1,178,0
1,179,0
1,180,1
1,181,1
1,182,1
1,183,1
1,184,1
1,185,1
1,186,1
1,187,1
1,188,0
1,189,0
1,190,0
1,191,0
1,192,1
1,193,0
1,194,1
1,195,1
1,196,1
1,197,1
1,198,1
1,199,0
1,200,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,0
2,9,0
2,10,1
2,11,0
2,12,0
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,0
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,1
2,29,1
2,30,1
2,31,1
2,32,1
2,33,1
2,34,1
2,35,1
2,36,1
2,37,0
2,38,1
2,39,1
2,40,0
2,41,1
2,42,1
2,43,1
2,44,1
2,45,1
2,46,1
2,47,0
2,48,0
2,49,1
2,50,1
2,51,0
2,52,1
2,53,1
2,54,1
2,55,1
2,56,0
2,57,0
2,58,0
2,59,1
2,60,2
2,61,1
2,62,1
2,63,2
2,64,1
2,65,1
2,66,1
2,67,1
2,68,2
2,69,1
2,70,1
2,71,1
2,72,1
2,73,1
2,74,1
2,75,1
2,76,1
2,77,0
2,78,1
2,79,1
2,80,1
2,81,1
2,82,0
2,83,1
2,84,1
2,85,1
2,86,0
2,87,0
2,88,1
2,89,1
2,90,1
2,91,1
2,92,0
2,93,1
2,94,1
2,95,1
2,96,1
2,97,1
2,98,1
